user_id,week_start,orders_count,net_revenue,refunds_count,refund_amount,coupon_orders_count,avg_discount_pct,cod_orders_count,rto_count,payment_failures_count,risk_score_avg
u000001,2025-09-22,1,4358.65,0,0.0,0,0.0,0,0,0,10.0
u000001,2025-11-24,1,637.09,0,0.0,0,0.0,0,0,0,10.0
u000001,2026-01-19,1,6498.72,0,0.0,0,0.0,0,1,0,17.0
u000003,2026-01-19,1,9037.76,0,0.0,0,0.0,0,0,0,10.0
u000005,2025-08-18,1,503.31,0,0.0,0,0.0,0,0,1,10.0
u000005,2025-09-29,1,9545.49,1,9545.49,0,0.0,0,1,1,25.0
u000005,2025-11-17,1,509.66,0,0.0,0,0.0,0,0,5,25.0
u000005,2025-12-01,1,262.15,0,0.0,0,0.0,0,0,1,10.0
u000006,2025-09-08,1,458.97,1,458.97,0,0.0,0,1,0,17.0
u000007,2025-08-04,1,2611.71,1,2611.71,0,2.97,0,1,0,17.0
u000007,2025-09-08,1,9463.87,0,0.0,0,0.0,0,0,0,10.0
u000007,2025-10-06,1,7309.71,0,0.0,0,0.0,0,0,1,10.0
u000007,2025-11-10,1,519.33,1,0.0,0,0.0,1,1,0,25.0
u000008,2025-08-25,1,719.13,0,0.0,0,0.0,0,0,0,10.0
u000008,2025-09-08,1,748.82,0,0.0,0,25.0,1,0,0,18.0
u000008,2025-12-08,1,929.62,0,0.0,0,0.0,0,0,0,10.0
u000009,2025-09-22,1,3039.38,0,0.0,0,0.0,0,0,0,10.0
u000015,2025-12-15,1,4128.24,1,0.0,0,0.0,1,0,0,18.0
u000016,2025-11-24,1,246.49,0,0.0,0,0.0,0,0,0,10.0
u000018,2025-08-04,1,3958.49,0,0.0,0,3.65,1,0,0,18.0
u000018,2025-09-15,1,2249.82,0,0.0,0,0.0,1,0,0,18.0
u000019,2026-01-12,1,8234.44,0,0.0,0,1.79,0,0,1,10.0
u000020,2025-09-29,1,1049.59,0,0.0,0,0.0,0,0,0,10.0
u000020,2025-10-06,1,892.12,0,0.0,0,0.0,1,0,0,18.0
u000021,2025-08-25,1,198.52,0,0.0,0,0.0,0,0,7,25.0
u000021,2025-10-20,1,381.2,0,0.0,0,0.0,0,1,3,32.0
u000021,2025-12-29,1,8318.13,0,0.0,0,0.0,0,0,2,25.0
u000021,2026-01-05,1,3842.92,0,0.0,0,0.0,1,0,0,18.0
u000022,2025-12-15,1,4462.95,0,0.0,0,0.0,0,0,1,10.0
